1763612853270,sorted,50,0.000215917,0.000020958,0.000020792
1763612853270,shuffled,50,0.000021875,0.000022416,0.000021000
1763612853270,reversed,50,0.000026833,0.000018000,0.000018000
1763612855763,sorted,100,0.000093250,0.000033292,0.000066458
1763612855763,shuffled,100,0.000054542,0.000032625,0.000032500
1763612855763,reversed,100,0.000071584,0.000028250,0.000047459
1763612860334,sorted,150,0.000265333,0.000056084,0.000054333
1763612860334,shuffled,150,0.000154833,0.000043166,0.000054833
1763612860334,reversed,150,0.000148041,0.000031208,0.000038958
1763612864446,sorted,200,0.000327000,0.000071083,0.000086375
1763612864446,shuffled,200,0.000162500,0.000055417,0.000050959
1763612864446,reversed,200,0.000166292,0.000033667,0.000057708
1763612867364,sorted,250,0.000315458,0.000092125,0.000084834
1763612867364,shuffled,250,0.000165834,0.000035375,0.000056750
1763612867364,reversed,250,0.000132000,0.000038000,0.000048208
1763612870151,sorted,300,0.000528125,0.000091209,0.000106959
1763612870151,shuffled,300,0.000356833,0.000090750,0.000092416
1763612870151,reversed,300,0.000293042,0.000037250,0.000048917
